"plots" "tag" "X" "Y" "SPECIESID" "dbh" "height" "pft" "n" "balive" "bdead" "lai"
1 44 514207.2242 3374902.171 "PINPAL" 42.4 22.6 2 0.000143910513197452 20.6631793584452 322.353304158741 0.0191374486798325
1 27 514164.9588 3374922.174 "PINPAL" 40.6 22.9 2 0.000143910513197452 19.0386112803457 292.528781553516 0.0176241108275266
1 28 514163.2046 3374920.864 "PINPAL" 40.4 21 2 0.000143910513197452 18.8017996806575 289.31358990055 0.0174596080392157
1 94 514209.9206 3374850.922 "PINPAL" 39.6 22.6 2 0.000143910513197452 18.1489933634705 276.649038521026 0.0168089054960501
1 69 514198.7727 3374864.017 "PINPAL" 37.3 21.9 2 0.000143910513197452 16.1808936084284 241.975672024474 0.0150034573830094
1 87 514179.6764 3374857.631 "PINPAL" 37.3 20.7 2 0.000143910513197452 16.1488150040028 241.975672024474 0.0150034573830094
1 80 514151.0528 3374879.846 "PINPAL" 36.1 19.5 2 0.000143910513197452 15.146357650634 224.899482932936 0.0141001084763703
1 85 514180.309 3374850.828 "PINPAL" 36.1 19.8 2 0.000143910513197452 15.1538944434982 224.899482932936 0.0141001084763703
1 9 514151.6859 3374946.049 "PINPAL" 35.6 21.6 2 0.000143910513197452 14.8018390130679 217.987923564783 0.0137315582504857
1 78 514164.0994 3374882.345 "PINPAL" 35.1 20.4 2 0.000143910513197452 14.3809664714823 211.195502628467 0.0133676323169944
1 74 514172.1042 3374880.671 "PINPAL" 34.8 20.1 2 0.000143910513197452 14.1414195892233 207.177070127005 0.0131514991631988
1 77 514165.1257 3374867.985 "PINPAL" 34.8 21.6 2 0.000143910513197452 14.1765682993247 207.177070127005 0.0131514991631988
1 7 514160.7138 3374939.766 "PINPAL" 34.3 22.3 2 0.000143910513197452 13.80822534775 200.574436030754 0.0127949858921941
1 17 514183.2077 3374930.797 "PINPAL" 34 20.4 2 0.000143910513197452 13.5371837217893 196.669564196885 0.0125833055072709
1 84 514165.5167 3374855.119 "PINPAL" 34 16.5 2 0.000143910513197452 13.4497453183836 196.669564196885 0.0125833055072709
